time,price,quantity,direction
2026-07-13T18:43:41.623331+00:00,94.3,85,1
2026-07-13T18:43:43.787146+00:00,94.29,10,2
2026-07-13T18:43:44.041133+00:00,94.29,10,2
2026-07-13T18:43:51.040477+00:00,94.29,1,2
2026-07-13T18:43:53.459303+00:00,94.29,1,2
2026-07-13T18:43:53.460086+00:00,94.29,1,2
2026-07-13T18:43:59.193607+00:00,94.28,1,2
2026-07-13T18:43:59.196326+00:00,94.28,11,2
2026-07-13T18:43:59.330079+00:00,94.28,4,2
2026-07-13T18:43:59.552433+00:00,94.28,2,2
2026-07-13T18:44:01.825917+00:00,94.29,20,1
2026-07-13T18:44:01.826605+00:00,94.29,35,1
2026-07-13T18:44:01.989506+00:00,94.29,1,1
2026-07-13T18:44:05.980954+00:00,94.28,1,1
2026-07-13T18:44:14.570551+00:00,94.26,1,2
2026-07-13T18:44:20.343116+00:00,94.27,62,1
2026-07-13T18:44:20.347515+00:00,94.28,124,1
2026-07-13T18:44:23.898055+00:00,94.26,335,2
2026-07-13T18:44:28.297393+00:00,94.27,1,1
2026-07-13T18:44:33.424626+00:00,94.26,2,2
2026-07-13T18:44:33.776559+00:00,94.27,60,1
2026-07-13T18:44:33.782008+00:00,94.27,167,1
2026-07-13T18:44:33.782521+00:00,94.27,86,1
2026-07-13T18:44:33.783046+00:00,94.28,37,1
2026-07-13T18:44:33.887778+00:00,94.26,4,2
2026-07-13T18:44:36.417790+00:00,94.25,1,2
2026-07-13T18:44:36.423109+00:00,94.25,3,2
2026-07-13T18:44:36.423700+00:00,94.25,1,2
2026-07-13T18:44:36.424222+00:00,94.25,513,2
2026-07-13T18:44:36.424933+00:00,94.25,52,2
2026-07-13T18:44:36.425411+00:00,94.25,70,2
2026-07-13T18:44:36.425807+00:00,94.25,63,2
2026-07-13T18:44:36.426075+00:00,94.25,32,2
2026-07-13T18:44:36.426405+00:00,94.24,3,2
2026-07-13T18:44:36.428838+00:00,94.24,3,2
2026-07-13T18:44:36.430858+00:00,94.24,4,2
2026-07-13T18:44:36.433005+00:00,94.24,4,2
2026-07-13T18:44:36.433442+00:00,94.24,3,2
2026-07-13T18:44:36.435471+00:00,94.24,52,2
2026-07-13T18:44:36.435866+00:00,94.24,96,2
2026-07-13T18:44:39.899131+00:00,94.24,6,2
2026-07-13T18:44:42.272728+00:00,94.24,80,2
2026-07-13T18:44:42.273924+00:00,94.24,18,2
2026-07-13T18:44:42.277914+00:00,94.23,243,2
2026-07-13T18:44:44.457042+00:00,94.25,21,1
2026-07-13T18:44:50.099108+00:00,94.24,100,2
2026-07-13T18:44:50.099759+00:00,94.24,76,2
2026-07-13T18:44:50.102551+00:00,94.24,7,2
2026-07-13T18:44:50.103004+00:00,94.24,34,2
2026-07-13T18:44:50.103651+00:00,94.24,238,2
2026-07-13T18:44:50.104107+00:00,94.23,52,2
2026-07-13T18:44:50.104611+00:00,94.23,20,2
2026-07-13T18:44:50.105016+00:00,94.23,173,2
2026-07-13T18:44:58.820875+00:00,94.23,8,2
2026-07-13T18:44:58.824969+00:00,94.22,52,2
2026-07-13T18:44:58.825692+00:00,94.22,240,2
2026-07-13T18:44:59.993774+00:00,94.22,30,2
2026-07-13T18:44:59.994173+00:00,94.22,52,2
2026-07-13T18:44:59.999758+00:00,94.21,6,2
2026-07-13T18:45:00.362303+00:00,94.24,70,1
2026-07-13T18:45:00.366856+00:00,94.24,59,1
2026-07-13T18:45:00.367286+00:00,94.24,32,1
2026-07-13T18:45:00.368268+00:00,94.24,1,1
2026-07-13T18:45:00.369013+00:00,94.25,838,1
2026-07-13T18:45:10.622351+00:00,94.24,1,2
2026-07-13T18:45:11.000678+00:00,94.25,2,1
2026-07-13T18:45:15.960725+00:00,94.24,15,2
2026-07-13T18:45:18.581103+00:00,94.24,5,2
2026-07-13T18:45:18.588119+00:00,94.24,3,2
2026-07-13T18:45:19.981959+00:00,94.25,100,1
2026-07-13T18:45:25.484204+00:00,94.24,1,2
2026-07-13T18:45:25.755940+00:00,94.25,39,1
2026-07-13T18:45:25.756375+00:00,94.25,54,1
2026-07-13T18:45:25.763081+00:00,94.25,2,1
2026-07-13T18:45:25.763726+00:00,94.25,5,1
2026-07-13T18:45:31.064138+00:00,94.25,2,2
2026-07-13T18:45:31.718355+00:00,94.25,98,2
2026-07-13T18:45:31.719054+00:00,94.25,52,2
2026-07-13T18:45:31.723173+00:00,94.25,70,2
2026-07-13T18:45:31.723927+00:00,94.25,280,2
2026-07-13T18:45:32.476766+00:00,94.25,10,2
2026-07-13T18:45:33.255115+00:00,94.25,100,2
2026-07-13T18:45:39.480793+00:00,94.26,1,1
2026-07-13T18:45:48.615984+00:00,94.25,1,2
2026-07-13T18:45:48.622929+00:00,94.25,1,2
2026-07-13T18:45:51.188709+00:00,94.25,7,2
2026-07-13T18:45:56.239054+00:00,94.25,1,2
2026-07-13T18:45:57.175314+00:00,94.26,7,1
2026-07-13T18:45:57.176093+00:00,94.26,3,1
2026-07-13T18:45:58.713204+00:00,94.26,22,1
2026-07-13T18:46:08.194727+00:00,94.25,1,2
2026-07-13T18:46:08.198398+00:00,94.24,42,2
2026-07-13T18:46:08.200368+00:00,94.24,3,2
2026-07-13T18:46:08.200845+00:00,94.23,38,2
2026-07-13T18:46:08.201317+00:00,94.23,16,2
2026-07-13T18:46:10.591620+00:00,94.25,32,1
2026-07-13T18:46:10.592139+00:00,94.25,53,1
2026-07-13T18:46:18.031139+00:00,94.26,2,1
2026-07-13T18:46:19.337147+00:00,94.25,15,2
2026-07-13T18:46:19.686313+00:00,94.25,1,1
2026-07-13T18:46:25.170528+00:00,94.24,2,2
2026-07-13T18:46:26.373003+00:00,94.24,6,2
2026-07-13T18:46:27.711569+00:00,94.24,10,2
2026-07-13T18:46:31.889674+00:00,94.24,2,2
2026-07-13T18:46:31.890367+00:00,94.23,297,2
2026-07-13T18:46:34.020190+00:00,94.23,20,2
2026-07-13T18:46:39.683759+00:00,94.24,2,1
2026-07-13T18:46:39.688299+00:00,94.24,28,1
2026-07-13T18:46:40.806927+00:00,94.24,1,1
2026-07-13T18:46:40.838497+00:00,94.24,22,1
2026-07-13T18:46:40.839006+00:00,94.24,50,1
2026-07-13T18:46:40.844838+00:00,94.25,34,1
2026-07-13T18:46:43.439463+00:00,94.23,1,2
2026-07-13T18:46:57.950910+00:00,94.25,9,1
2026-07-13T18:46:58.224092+00:00,94.24,2,2
2026-07-13T18:47:02.286892+00:00,94.24,6,2
2026-07-13T18:47:02.542717+00:00,94.24,13,2
2026-07-13T18:47:02.543173+00:00,94.24,100,2
2026-07-13T18:47:02.545126+00:00,94.24,37,2
2026-07-13T18:47:03.345053+00:00,94.24,3,2
2026-07-13T18:47:06.458305+00:00,94.24,1,2
2026-07-13T18:47:12.872704+00:00,94.24,171,2
2026-07-13T18:47:12.873221+00:00,94.24,32,2
2026-07-13T18:47:12.877704+00:00,94.24,52,2
2026-07-13T18:47:12.878572+00:00,94.24,41,2
2026-07-13T18:47:12.878970+00:00,94.24,144,2
2026-07-13T18:47:17.048174+00:00,94.24,22,1
2026-07-13T18:47:18.291023+00:00,94.24,2,1
2026-07-13T18:47:18.328853+00:00,94.24,191,1
2026-07-13T18:47:18.373913+00:00,94.24,4,1
2026-07-13T18:47:18.948885+00:00,94.25,200,1
2026-07-13T18:47:19.271733+00:00,94.25,241,1
2026-07-13T18:47:19.272330+00:00,94.25,1,1
2026-07-13T18:47:24.083616+00:00,94.25,372,2
2026-07-13T18:47:29.110189+00:00,94.26,11,1
2026-07-13T18:47:41.671875+00:00,94.26,50,1
2026-07-13T18:47:41.778931+00:00,94.26,297,1
2026-07-13T18:47:41.787372+00:00,94.26,74,1
2026-07-13T18:47:41.789781+00:00,94.26,53,1
2026-07-13T18:47:41.828893+00:00,94.26,15,1
2026-07-13T18:47:47.031515+00:00,94.27,1,1
2026-07-13T18:47:47.040379+00:00,94.27,49,1
2026-07-13T18:47:47.040865+00:00,94.28,100,1
2026-07-13T18:47:48.006348+00:00,94.28,1,1
2026-07-13T18:47:51.240610+00:00,94.28,100,1
2026-07-13T18:47:53.923661+00:00,94.28,494,1
2026-07-13T18:47:54.034342+00:00,94.28,176,1
2026-07-13T18:47:54.088582+00:00,94.28,53,1
2026-07-13T18:47:54.093164+00:00,94.28,39,1
2026-07-13T18:47:54.099905+00:00,94.28,48,2
2026-07-13T18:47:55.373132+00:00,94.29,72,1
2026-07-13T18:47:55.570201+00:00,94.29,23,1
2026-07-13T18:47:55.670670+00:00,94.29,23,1
2026-07-13T18:47:55.770648+00:00,94.29,23,1
2026-07-13T18:47:59.021583+00:00,94.29,15,1
2026-07-13T18:48:01.122639+00:00,94.29,10,1
