score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,40.0,50.0,91,12,-495.6885622036759,-311.62010397247343,-66.19215381123847,-65.4432315162947,-303.911551842263,0,5,-1242.8556033459452,-13.657753882922474,-1198.4261258972028,-1198.5777724256782
1.3,0.6,1.5,60.0,60.0,15.0,97,0,-292.3439233389042,-274.4364754850166,-160.8463272347572,59.70830486008418,177.43076063540528,2,5,-490.48766056318823,-5.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,2,-326.3439233389042,-308.4364754850166,-228.8463272347572,41.70830486008418,137.43076063540528,2,5,-684.4876605631882,-7.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,4,-360.3439233389042,-342.4364754850166,-296.8463272347572,23.708304860084183,97.43076063540528,2,5,-878.4876605631882,-9.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,6,-394.3439233389042,-376.4364754850166,-364.8463272347572,5.7083048600841835,57.43076063540527,2,5,-1072.4876605631882,-11.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,8,-428.3439233389042,-410.4364754850166,-432.8463272347572,-12.291695139915817,17.43076063540527,1,5,-1266.4876605631882,-13.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,10,-462.3439233389042,-444.4364754850166,-500.8463272347572,-30.291695139915817,-22.56923936459473,0,5,-1460.4876605631882,-15.056573820239054,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,15.0,97,12,-496.3439233389042,-478.4364754850166,-568.8463272347572,-48.29169513991582,-62.56923936459473,0,5,-1654.4876605631882,-17.056573820239056,-1691.5950607093446,-1615.8520782977455
1.3,0.6,1.5,60.0,60.0,25.0,93,0,-295.0066822508677,-283.5189484669686,-308.24651337575267,113.37142050856889,187.96755984577484,2,5,-585.4331637392454,-6.294980255260703,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,2,-327.0066822508677,-315.5189484669686,-374.24651337575267,95.37142050856889,149.96755984577484,2,5,-771.4331637392454,-8.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,4,-359.0066822508677,-347.5189484669686,-440.24651337575267,77.37142050856889,111.96755984577483,2,5,-957.4331637392454,-10.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,6,-391.0066822508677,-379.5189484669686,-506.24651337575267,59.37142050856889,73.96755984577483,2,5,-1143.4331637392454,-12.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,8,-423.0066822508677,-411.5189484669686,-572.2465133757527,41.37142050856889,35.96755984577483,2,5,-1329.4331637392454,-14.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,10,-455.0066822508677,-443.5189484669686,-638.2465133757527,23.37142050856889,-2.032440154225167,1,5,-1515.4331637392454,-16.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,25.0,93,12,-487.0066822508677,-475.5189484669686,-704.2465133757527,5.371420508568889,-40.03244015422517,1,5,-1701.4331637392454,-18.294980255260704,-1699.556306953721,-1662.7148971688948
1.3,0.6,1.5,60.0,60.0,35.0,92,0,-384.78514967567537,-222.21458493169592,-165.27660754913467,59.674087851914216,77.20215698375816,2,5,-635.4000973208333,-6.90652279696558,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,2,-414.78514967567537,-254.21458493169592,-231.27660754913467,41.674087851914216,39.20215698375816,2,5,-819.4000973208333,-8.906522796965579,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,4,-444.78514967567537,-286.2145849316959,-297.27660754913467,23.674087851914216,1.202156983758158,2,5,-1003.4000973208333,-10.906522796965579,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,6,-474.78514967567537,-318.2145849316959,-363.27660754913467,5.674087851914216,-36.79784301624184,1,5,-1187.4000973208333,-12.906522796965579,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,8,-504.78514967567537,-350.2145849316959,-429.27660754913467,-12.325912148085784,-74.79784301624184,0,5,-1371.4000973208333,-14.906522796965579,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,10,-534.7851496756754,-382.2145849316959,-495.27660754913467,-30.325912148085784,-112.79784301624184,0,5,-1555.4000973208333,-16.90652279696558,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,35.0,92,12,-564.7851496756754,-414.2145849316959,-561.2766075491347,-48.325912148085784,-150.79784301624184,0,5,-1739.4000973208333,-18.90652279696558,-1698.572236348036,-1690.8024457825406
1.3,0.6,1.5,60.0,60.0,50.0,91,0,-364.49386686689104,-183.8279465066479,36.749457795177705,45.31508817985149,89.40682011430536,3,5,-376.8504472842044,-4.141213706419829,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,2,-394.49386686689104,-215.8279465066479,-27.250542204822295,27.315088179851493,51.40682011430536,2,5,-558.8504472842044,-6.141213706419829,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,4,-424.49386686689104,-247.8279465066479,-91.2505422048223,9.315088179851493,13.406820114305361,2,5,-740.8504472842044,-8.141213706419828,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,6,-454.49386686689104,-279.8279465066479,-155.2505422048223,-8.684911820148507,-24.59317988569464,0,5,-922.8504472842044,-10.141213706419828,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,8,-484.49386686689104,-311.8279465066479,-219.2505422048223,-26.684911820148507,-62.59317988569464,0,5,-1104.8504472842044,-12.141213706419828,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,10,-514.493866866891,-343.8279465066479,-283.2505422048223,-44.68491182014851,-100.59317988569464,0,5,-1286.8504472842044,-14.141213706419828,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,60.0,60.0,50.0,91,12,-544.493866866891,-375.8279465066479,-347.2505422048223,-62.68491182014851,-138.59317988569464,0,5,-1468.8504472842044,-16.14121370641983,-1468.8037867593537,-1495.781136101847
1.3,0.6,1.5,90.0,20.0,15.0,100,0,-221.74703930982105,-111.03813043012337,23.1707401866783,29.83557717031219,-2.8884392691866765,2,5,-282.66729165214065,-2.8266729165214066,-1336.5127900854002,-1301.591624544301
1.3,0.6,1.5,90.0,20.0,15.0,100,2,-259.74703930982105,-147.03813043012337,-44.8292598133217,11.835577170312192,-42.88843926918668,1,5,-482.66729165214065,-4.826672916521407,-1336.5127900854002,-1301.591624544301
1.3,0.6,1.5,90.0,20.0,15.0,100,4,-297.74703930982105,-183.03813043012337,-112.8292598133217,-6.164422829687808,-82.88843926918668,0,5,-682.6672916521406,-6.826672916521407,-1336.5127900854002,-1301.591624544301
1.3,0.6,1.5,90.0,20.0,15.0,100,6,-335.74703930982105,-219.03813043012337,-180.8292598133217,-24.16442282968781,-122.88843926918668,0,5,-882.6672916521406,-8.826672916521407,-1336.5127900854002,-1301.591624544301
