family,horizon,param1,param2,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_wr,fwd_days,fwd_pos_days,fwd_without_best_day,fwd_without_best_ticker
REGIME,60,2.0,0.65,175,-219.62943973903617,168,-1252.562364561315,156,-1374.233020895423,499,-2846.424825195774,-5.704258166724998,41.08216432865731,15,3,-4700.497829706837,-3355.0752879798065,58,-381.70496614063495,-6.581120105873016,41.37931034482759,4,1,-406.25445937106645,-567.2674741248547
REGIME,60,2.0,0.7,175,-172.7252211141991,169,-829.7640094116251,157,-2144.81733582962,501,-3147.306566355444,-6.282049034641605,41.71656686626746,15,4,-4813.935176773624,-4008.588476593003,58,-316.3017226660773,-5.453477977001333,43.103448275862064,4,2,-402.99939267042623,-501.8642306502971
XSEC_MR,60,1.0,,652,-8481.939595149173,535,-4918.44107730786,635,-5002.043702891095,1822,-18402.424375348128,-10.100123147831026,36.608122941822174,15,1,-18595.818756369947,-18483.884515966703,487,-3783.9305880113006,-7.769878004129981,37.57700205338809,4,0,-3372.909822220152,-4028.595665739126
XSEC_MR,60,2.0,,815,-9395.050691329507,718,-7269.6766268654665,810,-8883.225378597468,2343,-25547.95269679244,-10.90394908100403,36.23559539052496,15,0,-25508.30785132134,-25552.476389604788,591,-7138.88447473934,-12.079330752520033,33.16412859560068,4,0,-6563.4771100469525,-7156.908543789543
XSEC_MR,60,3.0,,904,-10773.99493010079,802,-8518.048846163503,889,-11025.846727720487,2595,-30317.89050398478,-11.683194799223422,36.1849710982659,15,0,-29520.765661030862,-30322.41419679713,639,-6263.243214525809,-9.801632573592816,33.64632237871675,4,0,-5499.237236942846,-6273.1098611334855
XSEC_MOM,60,1.0,,652,-7343.954884787074,535,-7968.182179322363,636,-10169.602541585276,1823,-25481.73960569471,-13.977915307567038,31.760833790455294,15,0,-25119.904256417707,-25270.395568176977,488,-7884.754802807873,-16.157284431983346,29.918032786885245,4,0,-7432.7722914803135,-7884.331469209566
XSEC_MOM,60,2.0,,815,-10273.261846240704,718,-9914.840332010583,809,-10500.316961628818,2342,-30688.419139880105,-13.103509453407389,32.96327924850555,15,1,-30705.533266166425,-30361.554625801582,592,-7159.410806037761,-12.093599334523246,33.78378378378378,4,0,-6314.238797756975,-7122.5756353828065
XSEC_MOM,60,3.0,,903,-10967.202592857524,801,-10742.030212803775,889,-10254.779959707917,2593,-31964.012765369218,-12.32703924618944,32.6263015811801,15,0,-30752.280324463987,-31829.70741623679,639,-9086.99464716472,-14.220648900101283,32.237871674491394,4,0,-8151.975136725816,-9085.015305914894
REGIME,90,1.3,0.6,258,-2158.399991045648,269,-3518.000858633228,249,-4920.388399799938,776,-10596.789249478814,-13.655656249328368,38.53092783505155,15,2,-11555.537086745,-10956.588351942628,134,-1390.789068573778,-10.379022899804314,36.56716417910448,4,0,-1183.5874246004569,-1690.3471259558341
REGIME,90,1.3,0.65,261,-2849.5938831123267,271,-3204.7518522120185,253,-4653.997035167023,785,-10708.342770491367,-13.641200981517665,38.089171974522294,15,2,-11301.13236605264,-11223.582989877652,135,-1531.4175599256564,-11.343833777227085,37.03703703703704,4,0,-1337.4556857970238,-1830.9756173077126
REGIME,90,1.3,0.7,261,-3364.919035535567,274,-2235.0895826621813,255,-4028.271401833204,790,-9628.280020030954,-12.187696227887283,38.48101265822785,15,4,-9972.705629923212,-10061.45521290423,138,-1481.1824643526988,-10.733206263425354,37.68115942028986,4,0,-1287.2205902240662,-1780.740521734755
REGIME,90,1.5,0.6,219,-2538.117006948238,226,-3452.350937612242,210,-3131.6445453723763,655,-9122.112489932857,-13.926889297607415,39.541984732824424,15,3,-9961.440009844362,-9394.440643680895,105,-1034.8576395612297,-9.855787043440282,39.04761904761905,4,1,-1119.323883472593,-1228.8525275911327
REGIME,90,1.5,0.65,223,-2430.190860219203,228,-3437.870211713268,213,-3400.1843478516116,664,-9268.245419784083,-13.958200933409763,39.75903614457831,15,3,-10059.101798006826,-9465.706627354097,105,-1088.1075125331806,-10.362928690792197,40.95238095238095,4,0,-1069.3213839579987,-1332.1049000776777
REGIME,90,1.5,0.7,224,-2589.6067493873634,231,-2840.12072241561,215,-2978.5222240312332,670,-8408.249695834205,-12.549626411692843,40.298507462686565,15,3,-9097.595626409735,-8977.79894341258,107,-1113.4956668708387,-10.40650155954055,40.18691588785047,4,0,-1093.77182609141,-1357.4930544153358
REGIME,90,1.75,0.6,181,-1840.9834955241413,177,-2912.121572117234,172,-3094.54588398645,530,-7847.650951627825,-14.806888587977028,40.0,15,3,-8457.834894770649,-8083.612617116015,75,-652.1384042988648,-8.695178723984863,40.0,4,1,-816.6055562806731,-939.4592369805575
REGIME,90,1.75,0.65,185,-2097.4695277090027,181,-2452.614381273868,174,-3430.2011507190236,540,-7980.285059701895,-14.77830566611462,40.18518518518518,15,3,-8882.956426079123,-8177.7462672719075,75,-609.7599144864635,-8.130132193152846,41.333333333333336,4,1,-816.6055562806731,-897.0807471681562
REGIME,90,1.75,0.7,186,-1649.6285025955704,182,-1860.1377436217372,176,-4111.224050927626,544,-7620.990297144934,-14.009173340339952,41.36029411764706,15,5,-8580.800039218579,-8190.539544723308,75,-572.353490516238,-7.63137987354984,42.66666666666667,4,1,-779.1991323104477,-859.6743231979308
REGIME,90,2.0,0.6,143,-1291.9226776672058,141,-1554.2974177316491,134,-2414.4953650074367,418,-5260.715460406293,-12.585443685182518,42.3444976076555,15,3,-6729.873304010287,-5918.830792287934,53,-626.7501216282003,-11.82547399298491,39.62264150943396,4,0,-589.4255715349384,-846.8391112236823
REGIME,90,2.0,0.65,146,-1234.012491851585,143,-1107.2707586581296,135,-2197.5637799490687,424,-4538.847030458784,-10.704827902025434,43.160377358490564,15,3,-6362.601847475448,-5160.009398184802,53,-584.371631815799,-11.025879845581112,41.509433962264154,4,0,-547.0470817225371,-804.460621411281
REGIME,90,2.0,0.7,146,-1312.8794450441665,144,-669.9882200634502,135,-3170.304785676598,425,-5153.1724507842155,-12.125111648904037,43.29411764705882,15,4,-7034.065643497297,-5495.046316577422,53,-607.9157877783726,-11.47010920336552,43.39622641509434,4,0,-570.5912376851109,-828.0047773738547
XSEC_MR,90,1.0,,485,-6655.1871164831455,414,-5667.094771708949,472,-7157.1128117490625,1371,-19479.394699941156,-14.208165353713461,38.22027716994894,15,0,-19118.59170508785,-19879.537371148166,363,-4979.30597743999,-13.717096356583994,36.63911845730027,4,0,-4427.500651673704,-5309.394570210609
XSEC_MR,90,2.0,,592,-8048.23896181541,520,-5943.435343380767,577,-6883.9975377811115,1689,-20875.671842977288,-12.359782026629537,38.01065719360569,15,0,-20315.05049716185,-21012.14870642921,422,-4563.973575368487,-10.815103259167032,37.203791469194314,4,0,-3932.192055003915,-4798.6717031587805
XSEC_MR,90,3.0,,641,-9708.279979195864,571,-5572.592493531658,618,-8476.0729389649,1830,-23756.945411692424,-12.981937383438483,38.196721311475414,15,0,-23113.3439473902,-24253.95081154447,446,-3888.7816935113324,-8.719241465272045,36.32286995515695,4,0,-3201.6154191340374,-4354.861743239125
XSEC_MOM,90,1.0,,485,-5091.131600855721,414,-4335.327593915894,472,-4193.90795158855,1371,-13620.367146360164,-9.93462228035023,37.70970094821298,15,0,-13419.643892884244,-14086.938649304102,362,-3793.707765205922,-10.479855704988735,38.12154696132597,4,0,-3468.6780543625755,-3974.6236005436326
XSEC_MOM,90,2.0,,592,-6141.195933091492,520,-6638.650911139913,576,-7004.259944830672,1688,-19784.106789062072,-11.720442410581796,36.90758293838863,15,0,-19677.82482192692,-20015.63025611622,423,-5721.897097245244,-13.526943492305541,33.80614657210402,4,0,-5109.96945079249,-5872.376587744324
XSEC_MOM,90,3.0,,641,-5688.1324306759525,571,-8136.525322454054,618,-6430.393938823405,1830,-20255.05169195341,-11.068334257898037,37.923497267759565,15,1,-20298.49711915652,-20775.239288866822,446,-6906.886571405556,-15.486292760999005,33.856502242152466,4,0,-6150.0966678689865,-7186.424236600578
REGIME,120,1.3,0.6,231,-2645.8609819423173,227,-2872.5750295362927,224,-5034.951893162849,682,-10553.387904641459,-15.47417581325727,39.589442815249264,15,1,-11299.953554698941,-11021.760240759875,114,-2116.806087711725,-18.56847445361162,34.21052631578947,4,0,-1934.144860357077,-2514.4227960952844
REGIME,120,1.3,0.65,235,-3410.5635678711124,230,-1408.2457941478785,227,-4628.159096073484,692,-9446.968458092477,-13.651688523255025,40.028901734104046,15,1,-11535.20750990864,-9967.36263000223,115,-2381.9450633470256,-20.712565768235006,33.91304347826087,4,0,-2205.301412383646,-2779.561771730585
REGIME,120,1.3,0.7,236,-4273.578612753585,233,-879.7258603903365,230,-4218.145590488868,699,-9371.45006363279,-13.406938574581961,39.77110157367668,15,1,-11610.11585094601,-9988.00438922202,118,-2729.3758572299084,-23.130303874829732,32.20338983050847,4,0,-2552.732206266529,-3126.992565613468
