strategy,horizon,threshold,breadth,direction,top_n,W1_trades,W1_net,W1_mean,W2_trades,W2_net,W2_mean,W3_trades,W3_net,W3_mean,pre_trades,pre_net,pre_mean,pre_median,pre_wr,pre_windows,pre_positive_windows,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_median,fwd_wr,fwd_days,fwd_positive_days,fwd_without_best_day,fwd_without_best_ticker
MOMENTUM,120,1.5,NO_BROAD_070,LONG,3,53,-1884.9064976759437,-35.56427354105554,39,-1588.6337136854115,-40.734197786805424,32,417.7899518840894,13.055935996377794,124,-3055.750259477266,-24.64314725384892,-33.63561434233243,35.483870967741936,3,1,-3399.88959121832,-3515.777174817208,18,81.6090043155977,4.533833573088761,-13.203214131583959,44.44444444444444,4,1,-318.267065792248,-132.80865262900247
MOMENTUM,120,1.5,NO_BROAD_070,LONG,999,53,-1884.9064976759437,-35.56427354105554,39,-1588.6337136854115,-40.734197786805424,32,417.7899518840893,13.05593599637779,124,-3055.7502594772664,-24.643147253848923,-33.63561434233243,35.483870967741936,3,1,-3399.8895912183207,-3515.777174817208,18,81.60900431559767,4.53383357308876,-13.203214131583959,44.44444444444444,4,1,-318.2670657922481,-132.8086526290025
MR,120,1.5,NO_BROAD_060,LONG,999,33,-387.5988514552554,-11.745419741068345,13,569.6706697722952,43.82082075171502,26,300.4592397769722,11.556124606806623,72,482.5310580940121,6.7018202513057235,5.04820739704606,58.333333333333336,3,2,-192.92244225950458,217.70457216919613,7,-97.25909688737725,-13.89415669819675,3.9026715206571367,57.14285714285714,4,2,-120.23981148511426,-120.23981148511426
MR,120,1.5,NO_BROAD_060,LONG,3,33,-387.59885145525544,-11.745419741068346,13,569.6706697722951,43.82082075171501,26,300.4592397769722,11.556124606806623,72,482.53105809401194,6.701820251305722,5.04820739704606,58.333333333333336,3,2,-192.92244225950475,217.70457216919596,7,-97.25909688737727,-13.894156698196753,3.9026715206571367,57.14285714285714,4,2,-120.23981148511427,-120.23981148511427
MR,120,1.5,ALL,LONG,3,173,-9076.62839609938,-52.46606009306,177,700.2769311078638,3.9563668424173097,192,829.4677175872071,4.32014436243337,542,-7546.8837474043075,-13.924139755358501,-9.218733394400026,44.464944649446494,3,2,-8853.27250416134,-8005.304579521565,60,-673.6419972491143,-11.227366620818572,-8.102538155380868,48.333333333333336,4,1,-761.8632755571922,-827.401116036309
MR,120,2.0,ALL,LONG,1,93,-5550.944443694955,-59.68757466338661,92,1029.5841084900862,11.191131614022677,98,606.6216959483804,6.190017305595719,283,-3914.738639256488,-13.832998725287943,-12.135394418576592,43.46289752650176,3,2,-4945.508353057205,-4060.1345185846226,26,-250.27372686439583,-9.625912571707532,-11.252175094895348,46.15384615384615,4,1,-268.7561288383607,-319.1491491893536
MR,120,1.75,ALL,LONG,1,129,-6815.304900272578,-52.83182093234557,110,1705.2990667612041,15.50271878873822,121,633.7857875239441,5.2378990704458195,360,-4476.220045987431,-12.43394457218731,-13.017327933503507,41.11111111111111,3,2,-5626.171162291434,-4920.407953568353,37,-118.1639703195829,-3.1936208194481863,8.767635311964053,54.054054054054056,4,1,-188.18406312803657,-271.9230891067776
MOMENTUM,120,1.75,ALL,LONG,1,92,-4950.432625933474,-53.80905028188558,107,-1666.3864603975662,-15.573705237360432,90,540.1511392222617,6.001679324691796,289,-6076.667947108778,-21.02653268895771,-29.90572678985351,34.2560553633218,3,1,-6672.8894178681985,-6452.156238607361,42,-641.6131117370371,-15.276502660405646,-10.66603376582787,40.476190476190474,4,1,-821.8688561001185,-785.653231969336
MOMENTUM,120,1.3,NO_BROAD_060,LONG,1,38,-1190.1459673922882,-31.319630720849688,23,-745.7195580426634,-32.422589480115796,35,254.90550882564744,7.2830145378756415,96,-1680.9600166093041,-17.510000173013584,-22.959766040820792,35.41666666666667,3,1,-2276.114635809473,-2056.448308107887,13,24.941667525846512,1.918589809680501,-16.401568668058257,46.15384615384615,4,2,-114.47365312397831,-95.17054503939666
MR,120,2.0,NO_BROAD_070,LONG,3,25,-703.6066376413906,-28.144265505655625,12,784.3047913150899,65.35873260959083,24,174.14739032928946,7.256141263720394,61,254.84554400298887,4.177795803327687,1.9242573202892537,52.459016393442624,3,2,-191.90807968459714,41.4972378321832,2,155.46567449287545,77.73283724643773,77.73283724643773,100.0,2,2,22.980714597737006,22.980714597737006
MR,120,2.0,NO_BROAD_070,LONG,999,25,-703.6066376413906,-28.144265505655625,12,784.30479131509,65.35873260959083,24,174.1473903292894,7.256141263720392,61,254.8455440029889,4.177795803327687,1.9242573202892537,52.459016393442624,3,2,-191.9080796845971,41.49723783218323,2,155.46567449287545,77.73283724643773,77.73283724643773,100.0,2,2,22.980714597737006,22.980714597737006
MR,120,2.0,NO_BROAD_070,LONG,1,25,-703.6066376413906,-28.144265505655625,12,784.3047913150899,65.35873260959083,24,174.14739032928946,7.256141263720394,61,254.84554400298882,4.177795803327686,1.9242573202892537,52.459016393442624,3,2,-191.9080796845972,41.497237832183146,2,155.46567449287545,77.73283724643773,77.73283724643773,100.0,2,2,22.980714597737006,22.980714597737006
MR,120,1.75,NO_BROAD_070,LONG,1,39,-849.3558312412237,-21.778354647210865,22,995.2817819515022,45.24008099779556,33,212.66247737747142,6.444317496287013,94,358.58842808775,3.8147705115718087,-0.4504042108760018,50.0,3,2,-88.16519559983601,91.89612340735846,4,125.62243661550042,31.405609153875105,27.32535063520008,75.0,4,3,-6.862523279638026,-38.53250995230118
MR,120,1.3,ALL,BOTH,3,271,-5073.893491667134,-18.72285421279385,278,-845.4946562230157,-3.041347684255452,292,631.1714861915489,2.161546185587496,841,-5288.2166616986015,-6.288010299284901,-1.1204571206061384,49.34601664684899,3,1,-6203.380180058189,-5922.422959201824,133,-1581.1934457461196,-11.888672524406914,-7.079644032098358,45.86466165413533,4,0,-1565.7924380554102,-1764.1313880677405
MR,120,2.0,ALL,LONG,3,105,-6391.8109468550265,-60.87438997004787,108,307.1189816599383,2.8436942746290583,125,406.4195921161792,3.251356736929434,338,-5678.2723730789085,-16.7996224055589,-13.043733409418014,42.30769230769231,3,2,-6818.447656696737,-5855.908535746053,32,-553.2191406823553,-17.288098146323602,-12.203014971622517,40.625,4,0,-535.6754484821781,-646.7328778839528
MR,120,1.75,NO_BROAD_070,LONG,3,40,-721.2577826393091,-18.031444565982728,22,995.2817819515022,45.24008099779556,33,166.77974713011247,5.053931731215529,95,440.8037464423057,4.6400394362347965,0.47883645753658755,50.526315789473685,3,2,-5.949877245280334,174.11144176191414,4,125.62243661550042,31.405609153875105,27.32535063520008,75.0,4,3,-6.862523279638026,-38.53250995230118
MR,120,1.75,NO_BROAD_070,LONG,999,40,-721.2577826393091,-18.031444565982728,22,995.2817819515024,45.24008099779556,33,166.77974713011236,5.053931731215526,95,440.8037464423059,4.640039436234799,0.47883645753658755,50.526315789473685,3,2,-5.949877245280106,174.11144176191436,4,125.62243661550042,31.405609153875105,27.32535063520008,75.0,4,3,-6.862523279638026,-38.53250995230118
MOMENTUM,120,1.3,NO_BROAD_060,LONG,999,42,-1347.0257726808406,-32.07204220668668,24,-783.3601611726581,-32.64000671552742,35,171.7209334224885,4.906312383499672,101,-1958.6650004310102,-19.392722776544655,-27.070370615805842,32.67326732673268,3,1,-2470.63504422802,-2334.153291929593,14,7.305286812742622,0.5218062009101873,-17.018974690581054,42.857142857142854,4,1,-132.1100338370822,-112.80692575250055
MOMENTUM,120,1.3,NO_BROAD_060,LONG,3,41,-1313.3255297519831,-32.03232999395081,24,-783.3601611726581,-32.64000671552742,35,171.7209334224885,4.906312383499672,100,-1924.9647575021531,-19.24964757502153,-26.907225119511654,33.0,3,1,-2436.934801299163,-2300.453049000736,14,7.305286812742665,0.5218062009101904,-17.018974690581054,42.857142857142854,4,1,-132.11003383708214,-112.8069257525005
MOMENTUM,120,2.0,ALL,LONG,999,84,-5855.556732430623,-69.70900871941218,115,-1400.9222920568382,-12.181932974407289,100,328.7055801115867,3.287055801115867,299,-6927.7734443758745,-23.169810850755432,-32.18499959938681,35.45150501672241,3,1,-8117.344882951247,-6983.626910946856,46,-965.237672723916,-20.98342766791122,-14.131796225841477,41.30434782608695,4,0,-856.2689156188992,-1096.698152974076
MR,120,1.75,NO_BROAD_060,LONG,1,22,-300.9465678696118,-13.679389448618718,10,601.3358328187041,60.133583281870415,17,89.92319851569079,5.289599912687693,49,390.3124634647831,7.965560478873124,2.5841551574874657,57.14285714285714,3,2,-173.06572205722654,65.3922183493313,3,-6.862523279638026,-2.287507759879342,22.980714597737006,66.66666666666666,3,2,-38.53250995230118,-38.53250995230118
MR,120,1.5,NO_BROAD_060,BOTH,1,53,-521.6404562149928,-9.842272758773449,27,929.8031495101122,34.437153685559714,39,159.01326620221298,4.077263235954179,119,567.1759594973327,4.766184533591031,9.770456471809993,57.98319327731093,3,2,-74.6055246895038,103.50437630411801,15,-263.5875942394045,-17.572506282626968,-6.43793616993155,46.666666666666664,4,1,-372.0831689427992,-304.859022322017
MR,120,1.5,NO_BROAD_070,LONG,1,55,-1405.2232465528,-25.54951357368727,28,593.9381427403952,21.212076526442683,50,186.88860706537145,3.737772141307429,133,-624.3964967470337,-4.694710501857396,-1.3796448792885911,49.62406015037594,3,2,-1168.0664541841668,-896.6748588267151,16,141.41111061898803,8.838194413686752,8.853439405043833,62.5,4,3,-40.567092498368424,-3.1853887214966505
MR,120,1.5,NO_BROAD_060,BOTH,999,57,-411.9898312483293,-7.227891776286479,28,1039.5232956755556,37.1258319884127,41,155.67510501312665,3.796953780807967,126,783.208569440353,6.215941027304389,10.36048841994927,58.730158730158735,3,2,141.42708525351657,201.86346376740346,16,-273.6336663241904,-17.1021041452619,-8.242004127358703,43.75,4,1,-382.1292410275851,-314.9050944068029
MR,120,1.5,NO_BROAD_060,BOTH,3,57,-411.98983124832955,-7.227891776286484,28,1039.5232956755556,37.1258319884127,41,155.67510501312663,3.7969537808079665,126,783.2085694403529,6.215941027304388,10.36048841994927,58.730158730158735,3,2,141.42708525351645,201.86346376740335,16,-273.6336663241904,-17.1021041452619,-8.242004127358703,43.75,4,1,-382.1292410275851,-314.9050944068029
MR,120,1.5,NO_BROAD_070,LONG,999,59,-1315.6590227407858,-22.29930547018281,30,685.4421936945548,22.848073123151828,51,157.1288806720172,3.0809584445493567,140,-473.08794837421414,-3.379199631244387,-0.4504042108760018,50.0,3,2,-1016.7579058113472,-745.3663104538956,16,141.411110618988,8.83819441368675,8.853439405043833,62.5,4,3,-40.56709249836848,-3.185388721496679
MR,120,1.5,NO_BROAD_070,LONG,3,59,-1315.6590227407858,-22.29930547018281,30,685.4421936945546,22.84807312315182,51,157.12888067201715,3.080958444549356,140,-473.08794837421397,-3.3791996312443855,-0.4504042108760018,50.0,3,2,-1016.7579058113471,-745.3663104538955,16,141.41111061898803,8.838194413686752,8.853439405043833,62.5,4,3,-40.567092498368424,-3.1853887214966505
