share_min,market_ret5_min,start_hour,score_max,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_days,sep_pos_days,sep_no_best_day,fresh_trades,fresh_net,fresh_mean
0.4,-0.001,13,2.2,289.00643349276237,69.59297369429234,2.270249146641362,72.44882223446865,517.4755292551495,5,5,52,950.794007823314,18.284500150448345,65.38461538461539,20,12,523.5733832043784,701.6688895392853,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,-0.001,13,99.0,310.7725233037721,40.44964948753556,181.13282043185498,72.44882223446865,602.3395908187863,5,5,82,1207.1434062764176,14.721261052151435,62.19512195121951,23,14,803.6766586518277,944.5972879777785,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,-0.001,14,1.7,134.68603479559334,33.688029146630264,20.031620058902007,-11.440191101025256,460.1116961950214,4,5,22,637.0771890951216,28.958054049778255,72.72727272727273,12,8,360.96706105103885,444.316354750061,4,-84.00292679512083,-21.000731698780207,3,2,-100.11446624046707,0,,
0.4,-0.001,14,1.9,202.09468901634597,26.229212126829232,9.0252931522963,136.76928321497132,460.9988675606284,5,5,34,835.1173450710712,24.562274855031507,70.58823529411765,16,10,480.2909835078839,646.5335907923821,5,-147.26338070950857,-29.452676141901712,3,1,-163.3749201548548,0,,
0.4,-0.001,14,2.2,304.87673440282924,81.70074432037137,-50.337001965625575,130.27979299421577,517.4755292551495,4,5,46,983.9957990069402,21.391213021890003,67.3913043478261,19,11,556.7751743880045,734.8706807229114,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,-0.001,14,99.0,326.64282421383894,121.33615425519076,7.0360291976895155,130.27979299421577,547.6412741966171,5,5,70,1132.9360748575518,16.184801069393597,64.28571428571429,21,14,729.4693272329619,945.5125543792635,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,0.0,10,1.7,97.82032170795007,21.580258520551233,151.74697760091374,-12.749644611841916,394.68739826013507,4,5,26,653.0853114777083,25.1186658260657,73.07692307692307,17,12,376.9751834336255,447.6476864478466,6,-137.15341414813724,-22.858902358022874,3,2,-161.1676251141406,0,,
0.4,0.0,10,1.9,230.2287984866332,68.14970577700063,195.02148446297025,-131.60134171520014,534.4613927307596,4,5,38,896.2600397421635,23.58579051953062,71.05263157894737,21,14,541.4336781789762,693.1283641737016,7,-200.41386806252495,-28.630552580360707,3,1,-224.42807902852832,0,,
0.4,0.0,10,2.2,332.67051564459854,62.47162857160792,62.403549107151264,-138.0908319359557,484.71508874624755,4,5,53,804.1699501336496,15.173017927049994,64.15094339622641,22,15,444.8647521129257,596.5594381076511,9,-246.38913989103412,-27.37657109900379,4,2,-273.3698544887711,0,,
0.4,0.0,10,99.0,219.25540508792062,31.13253204110839,170.69001366395074,-79.58134304802269,734.4441282684722,4,5,81,1075.9407360134294,13.283218963128759,61.72839506172839,24,13,740.389414987051,727.6490006052056,9,-246.38913989103412,-27.37657109900379,4,2,-273.3698544887711,0,,
