horizon,score_cut,flow_votes,market_align,W0_trades,W0_net,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,W4_trades,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_pos_days,pre_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_wr,sep_pos_days,sep_days,sep_no_best_day,sep_no_best_ticker,fresh_trades,fresh_net,fresh_mean,fresh_wr,fresh_pos_days,fresh_days,fresh_no_best_day,fresh_no_best_ticker
60,1.3,2,False,375,-5419.612894211612,385,-4897.997957942609,416,-2260.32903107716,441,-6425.520916414005,424,-7608.965534596458,0,5,2041,-26612.426334241845,-13.038915401392378,37.08966193042626,1,25,-28465.17620833001,-26828.830872891762,211,-2031.58560918576,-9.628367816046255,34.59715639810427,0,4,-1849.991407041246,-2332.101292668043,134,-3233.4291469557756,-24.130068260863997,32.83582089552239,0,3,-3207.2474051039535,-3284.3376337989807
60,1.3,2,True,363,-4423.233606777388,370,-5391.885440172548,401,-1767.605991155158,428,-5680.02845595237,412,-7258.592669807089,0,5,1974,-24521.346163864553,-12.42216117723635,37.335359675785206,2,25,-26455.63998052548,-24719.762434253767,201,-1729.9675820462235,-8.60680389077723,35.82089552238806,0,4,-1715.3949525974788,-2030.4832655285063,131,-2823.359692475079,-21.55236406469526,33.587786259541986,0,3,-2797.177950623257,-3070.929572245989
60,1.3,3,False,335,-3893.2905114503737,320,-3151.24113190721,369,-1676.1588795974621,383,-5929.582638796449,383,-4087.9528594323488,0,5,1790,-18738.226021183844,-10.468282693398795,39.55307262569833,2,25,-20538.207532670636,-19022.922794752863,185,-2253.2248489436597,-12.179593778073837,33.513513513513516,0,4,-2060.1947049768733,-2325.9029115182884,116,-2801.249709308214,-24.14870439058805,30.17241379310345,0,3,-2775.0679674563917,-2907.476768355839
60,1.3,3,True,322,-3521.937653598021,308,-3147.8795056026775,351,-1039.3024951091231,372,-4904.959044360716,368,-4367.242420741765,0,5,1721,-16981.321119412303,-9.867124415695702,39.68622893666473,3,25,-19105.42583347118,-17248.029624720624,171,-1768.2945987382286,-10.340904086188472,35.67251461988304,0,4,-1689.9692977035704,-1861.8682261099375,113,-2675.5772197912124,-23.67767451142666,30.973451327433626,0,3,-2649.3954779393903,-2781.8042788388375
60,1.5,1,False,314,-5035.642492537865,301,-3380.287154323383,340,-2768.7378561254573,377,-5989.719565341711,357,-5963.23751287604,0,5,1689,-23137.624581204458,-13.699008040973629,37.12255772646537,2,25,-24358.79134923433,-23597.451886354796,171,-2005.7772900801128,-11.72969175485446,33.33333333333333,0,4,-1895.9019586932607,-2113.3591264579145,111,-2721.0958373190947,-24.514376912784638,30.630630630630627,0,3,-2694.9140954672725,-2813.444856697066
60,1.5,1,True,303,-5028.485512472745,283,-3495.760129756592,326,-2165.890338521459,367,-5471.501619899927,345,-5710.696958434666,0,5,1624,-21872.334559085386,-13.468186304855534,37.4384236453202,2,25,-23493.23678584611,-22238.124162917284,160,-1596.638271401233,-9.978989196257706,35.0,1,4,-1606.938623648552,-1738.5751125872187,107,-2081.940444139526,-19.457387328406785,32.71028037383177,0,3,-2055.7587022877037,-2174.289463517497
60,1.5,2,False,308,-3976.7017088173934,300,-3391.4304316374464,339,-2728.332982545072,372,-5755.56791713598,352,-5278.243404685213,0,5,1671,-21130.276444821102,-12.645288117786416,37.40275284260922,2,25,-22351.443212850972,-21590.10374997144,169,-1961.0265509801952,-11.603707402249675,33.13609467455622,0,4,-1895.901958693261,-2068.608387357997,111,-2730.4882249339976,-24.598993017423403,30.630630630630627,0,3,-2704.3064830821754,-2813.444856697066
60,1.5,2,True,297,-3877.9045584636297,282,-3445.4763188477555,325,-2312.598949946484,364,-5407.178398180573,340,-5016.761884551304,0,5,1608,-20059.920109989744,-12.475074695267253,37.6865671641791,2,25,-21680.82233675047,-20425.70971382164,158,-1551.8875323013153,-9.82207298924883,34.810126582278485,1,4,-1562.1878845486344,-1693.824373487301,107,-2091.3328317544288,-19.54516665191055,32.71028037383177,0,3,-2065.1510899026066,-2174.289463517497
60,1.5,3,False,274,-3129.4381415970756,241,-2252.7794850995033,302,-2285.207919429105,318,-2834.170488399135,313,-3221.501497219051,0,5,1448,-13723.09753174387,-9.477277300928087,39.364640883977906,5,25,-14691.172692146014,-14126.131589371025,145,-1985.9042717006473,-13.695891528969982,31.724137931034484,0,4,-1817.9379874188571,-2081.1456361742125,96,-1847.4482575799007,-19.244252683123964,33.33333333333333,0,3,-1821.2665157280787,-1966.633501526229
60,1.5,3,True,263,-3261.632339381205,228,-2102.24180343227,287,-1749.1146948032765,311,-2433.7914381220025,303,-3373.3239358640876,0,5,1392,-12920.104211602842,-9.281684060059513,39.58333333333333,5,25,-14435.524794896133,-13305.150000969295,135,-1590.459541039701,-11.781181785479266,34.074074074074076,0,4,-1537.198099690039,-1666.7526550707157,93,-1721.7757680628988,-18.5137179361602,34.40860215053764,0,3,-1695.5940262110769,-1840.9610120092273
60,1.75,1,False,250,-3277.390750119277,220,-2193.612852215326,277,-1677.3369849100065,298,-4634.713177553539,281,-4213.552423687161,0,5,1326,-15996.60618848531,-12.063805572010038,39.06485671191554,3,25,-17758.973718346526,-16355.290335336174,120,-1112.7892618852293,-9.273243849043578,34.166666666666664,0,4,-1100.1762429236946,-1466.0906557007302,91,-1569.477169951814,-17.24700186760235,30.76923076923077,1,3,-1828.7005641613896,-1714.8827040273436
60,1.75,1,True,240,-3041.84758607831,205,-2253.2964271356454,265,-609.6829504198413,290,-4274.501813935299,273,-3896.646912285766,0,5,1273,-14075.975689854862,-11.057325757937834,39.591516103692065,3,25,-16219.64090799326,-14358.843642672051,108,-706.4146860215147,-6.540876722421433,36.11111111111111,1,4,-763.7649158747547,-1059.7160798370157,88,-1575.4981566877323,-17.903388144178777,29.545454545454547,1,3,-1760.126906445201,-1720.903690763262
60,1.75,2,False,247,-3084.3223602760163,219,-2281.686608453231,274,-1884.5777937530227,292,-4446.918703380041,277,-3304.5373487590496,0,5,1309,-15002.04281462136,-11.460689697953674,39.49579831932773,4,25,-16764.410344482574,-15360.726961472225,120,-1137.4029944411818,-9.478358287009849,33.33333333333333,0,4,-1100.1762429236946,-1466.0906557007302,91,-1578.8695575667168,-17.35021491831557,30.76923076923077,1,3,-1838.0929517762925,-1724.2750916422465
60,1.75,2,True,237,-2805.945554101231,204,-2341.3701833735513,262,-913.7661043927246,285,-4260.508825689285,269,-2978.69087166512,0,5,1257,-13300.281539221913,-10.58097178935713,39.93635640413684,4,25,-15443.94675736031,-13583.149492039101,108,-731.0284185774673,-6.7687816534950676,35.18518518518518,1,4,-763.7649158747547,-1059.7160798370157,88,-1584.890544302635,-18.01011982162085,29.545454545454547,1,3,-1769.5192940601037,-1730.2960783781646
60,1.75,3,False,218,-3221.0090516467267,175,-1599.6162701800647,238,-559.5046383857043,241,-2220.0059007822747,238,-1882.142257541774,0,5,1110,-9482.278118536546,-8.542592899582473,40.81081081081081,5,25,-11336.512175051146,-9926.699595752909,100,-880.3597026636389,-8.803597026636389,31.0,1,4,-976.5802866564964,-1174.024534033341,77,-1288.4703054427391,-16.733380590165442,32.467532467532465,1,3,-1534.2259049119234,-1517.4749928769852
60,1.75,3,True,208,-3018.8460650942384,166,-1459.8622424949942,228,291.41722405758446,236,-1962.3475670556604,232,-2001.719247314691,1,5,1070,-8151.357897901999,-7.618091493366355,40.93457943925234,5,25,-10551.706812760443,-8577.791106857661,90,-434.34969778834363,-4.826107753203818,34.44444444444444,1,4,-630.9888506322181,-728.0145291580457,73,-1345.5872876491715,-18.432702570536595,31.506849315068493,1,3,-1465.6522471957348,-1574.5919750834175
60,2.0,1,False,189,-1715.76501932982,155,-800.3482582077386,210,-607.3871689744069,246,-4184.96052881662,218,-4233.639962218715,0,5,1018,-11542.100937547299,-11.338016638062179,39.19449901768173,4,25,-13291.532690109565,-12138.735437607473,96,-824.2606604563765,-8.586048546420589,34.375,0,4,-689.8541288459049,-1132.3738923988303,60,-2369.9067820869977,-39.49844636811663,30.0,0,2,-1862.695971018638,-2568.504609603211
60,2.0,1,True,179,-1656.4388579213696,145,-1049.3098489499052,203,207.32231736970903,238,-3574.7071768303654,211,-3509.1220813866876,1,5,976,-9582.255647718619,-9.817884884957602,39.75409836065574,5,25,-11821.784412381956,-10238.415620542557,87,-500.9723124937847,-5.758302442457295,36.7816091954023,0,4,-481.2706238154416,-809.0855444362387,57,-2364.913801893876,-41.48971582269958,29.82456140350877,0,2,-1794.1223133024491,-2563.51162941009
60,2.0,2,False,184,-1488.5509568724624,154,-830.6067538736517,209,-802.9501796002476,242,-3986.808571709572,214,-3688.5661351912995,0,5,1003,-10797.482597247232,-10.765187036138816,39.68095712861416,4,25,-12546.914349809498,-11394.117097307406,95,-799.1458834649047,-8.412061931209523,34.73684210526316,0,4,-681.3671999112073,-1107.2591154073586,58,-2213.4518095158096,-38.1629622330312,31.03448275862069,0,2,-1706.2409984474498,-2370.687518101125
60,2.0,2,True,174,-1429.224795464012,144,-1079.5683446158184,202,11.759306743868137,234,-3376.5552197233183,207,-2955.107288666738,1,5,961,-8828.696341726018,-9.186988909184201,40.27055150884495,5,25,-11068.225106389353,-9476.566995157946,86,-475.8575355023127,-5.533227157003636,37.2093023255814,0,4,-456.15584682396957,-783.9707674447666,55,-2208.458829322689,-40.153796896776164,30.909090909090907,0,2,-1637.667340731262,-2365.6945379080043
60,2.0,3,False,159,-1538.8918885729113,130,-815.0224611712852,178,542.4338024253274,192,-2719.9373960711746,179,-2356.5181414624985,1,5,838,-6887.936084852541,-8.219494134668903,40.453460620525064,4,25,-9029.156011683779,-7372.04261169545,80,-941.6128734639763,-11.770160918299704,30.0,0,4,-837.93285721489,-1197.7815941292988,50,-2112.4663691112355,-42.24932738222471,28.000000000000004,0,2,-1601.7765117317451,-2209.3748522285587
60,2.0,3,True,150,-1324.838005321712,128,-870.6106488012542,173,768.3269109706672,187,-2267.4725022000166,174,-2035.407370318039,1,5,812,-5730.001615670353,-7.056652236047233,40.76354679802955,5,25,-8058.373977326006,-6214.1081425132625,72,-581.6467062978795,-8.078426476359438,33.33333333333333,0,4,-565.0982854533517,-813.9422735106468,47,-2180.475757223908,-46.39310121752996,27.659574468085108,0,2,-1533.202854015557,-2199.9421675035624
